open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
56.321,57.24,57.28,56.303,15610.97949,56.27383,0.1217,54.88143,1.42975,0.919,0.8,0,0
57.24,56.8,57.25,56.733,14457.26003,56.42817,0.41233,55.04941,1.41871,-0.44,-0.44,0,1
56.835,56.645,57,56.423,16521.10073,56.69767,0.47168,55.22376,1.40411,-0.19,-0.155,0,1
56.579,56.505,56.737,56.374,8870.734511,56.84683,0.35461,55.38776,1.3492,-0.074,-0.14,0,1
56.503,56.899,56.899,56.456,8930.828209,56.76733,0.26394,55.54824,1.25183,0.396,0.394,0,1
56.745,56.675,56.899,56.403,11204.85042,56.661,0.16923,55.71241,1.13732,-0.07,-0.224,0,1
56.591,54.728,56.701,54.521,33744.3478,56.651,0.15448,55.84152,1.06218,-1.863,-1.947,0,0
54.72,55.204,55.5,54.582,19031.35268,56.35683,0.80934,55.89498,1.03767,0.484,0.476,0,0
55.194,55.564,55.591,54.761,12199.32573,55.77717,0.99519,55.91567,1.01456,0.37,0.36,0,1
55.565,55.25,55.932,55.216,11044.60463,55.3335,0.69479,55.96259,0.96096,-0.315,-0.314,0,1
55.275,54.62,55.291,54.34,20885.9594,55.2495,0.31112,56.0137,0.89529,-0.655,-0.63,0,0
54.62,54.419,54.748,54.132,24583.29076,55.24467,0.34592,56.035,0.86524,-0.201,-0.201,0,0
54.481,54.9,55.201,54.46,10257.11774,54.95817,0.46329,56.04065,0.85486,0.419,0.481,0,0
54.898,54.7,55.6,53.999,47987.1061,54.71917,0.31879,56.04804,0.84265,-0.198,-0.2,0,0
54.7,54.139,54.912,53.993,28333.17454,54.66967,0.20347,56.03676,0.84728,-0.561,-0.561,0,0
54.14,54.28,54.4,53.867,14444.6212,54.63633,0.28899,55.96413,0.90868,0.14,0.141,0,0
54.231,54.597,54.597,54.03,6004.471729,54.47617,0.32964,55.87233,0.97327,0.366,0.317,0,0
54.576,54.754,55.009,54.191,7898.81972,54.34783,0.24131,55.77591,0.9992,0.178,0.157,0,1
54.757,54.916,55.204,54.627,13746.8918,54.42967,0.2451,55.68287,0.9969,0.159,0.162,0,1
54.906,54.919,55.08,54.631,6485.646691,54.6385,0.23498,55.60328,0.98758,0.013,0.003,0,1
54.919,54.7,54.955,54.576,3794.367592,54.80467,0.13628,55.5277,0.96928,-0.219,-0.219,0,1
54.7,53.845,54.914,53.55,19324.15481,54.85283,0.0981,55.46213,0.96465,-0.855,-0.855,0,1
53.83,52.009,53.85,51.33,49729.14221,54.66483,0.4152,55.37783,0.9845,-1.821,-1.836,0,0
52.048,51.35,52.712,50.52,29305.50146,54.0005,1.08089,55.23117,1.10206,-0.698,-0.659,0,0
51.35,52.053,52.434,51.305,23806.68531,52.96367,1.33386,55.01024,1.26826,0.703,0.703,0,0
52.052,51.38,52.053,50.771,21644.08581,52.10667,0.90894,54.779,1.36536,-0.672,-0.673,0,0
51.423,51.668,51.67,50.982,8698.236909,51.7055,0.37864,54.56057,1.4374,0.245,0.288,0,0
51.566,52.548,52.61,51.566,19990.70466,51.65433,0.32822,54.34333,1.49934,0.982,0.88,0,0
52.501,52.493,53.065,52.13,19701.12698,51.77283,0.44929,54.14141,1.48344,-0.008,-0.055,0,0
